bill_id,items
1,"Invoice no: 11580833 Date of issue: 11/24/2019 Seller: Client: Wood, Simpson and Summers Tapia LLC 7000 Graves Ville 53393 Peters Overpass Juliastad, OH 02764 Boothside, WY 76847 Tax Id: 968-86-1662 Tax Id: 979-96-3992 IBAN: GB61VHVS67246807986062 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 Dell Optiplex SFF Desktop 1,00 each 89,99 89,99 10% 98,99 Computer Windows 10 4GB 160GB 2 Dell Desktop ComputerDIntel 3,00 each 69,95 209,85 10% 230,84 Core 2 Duo 8GB 1TB HD [Windows 10 PC 22"" LCD Wifi 3 HP 6200 Pro Core i7 3.4GHz 5,00 each 256,68 1 283,40 10% 1 411,74 Quad Core 16GB 500GB Computer Vintage Microsolutions Pentium 3,00 each 390,00 1 170,00 10% 1 287,00 133mhz Desktop Tower PC Windows 95 5.25 Floppy 5 Dell OptiPlex 7060 SFF 4,00 each 202,50 810,00 10% 891,00 Computer, 8th Gen Core i5, 8GB DDR4, New 240GB SSD  DVD Custom Gaming PC Computer 1,00 each 449,99 449,99 10% 494,99 FX-6300 3.SGHz 8GB RAM 128GB SSD 1 TB HDD RX 580 4GB Custom Build HP Desktop 2,00 each 329,00 658,00 10% 723,80 Computer 16GB 2TB SSD Windows 10 Windows PC WiFi SUMMARY VAT [%] Net worth VAT Gross worth 10% 4 671,23 467,12 5 138,35 Total $ 4 671,23 $ 467,12 $ 5 138,35"
2,"Invoice no: 72128555 Date of issue: 12/25/2013 Seller: Client: Obrien Group Duncan-Davis 6217 Boyd Ville Apt: 758 PSC 2324, Box 6632 Robbinsberg, AZ 54997 APO AP 93827 Tax Id: 905-82-5399 Tax Id: 917-86-7656 IBAN: GBZIQMAA96406297569205 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth Fatawa Islamiyah (Islamic 2,00 each 99,90 199,80 10% 219,78 Verdicts) (8 Volume Set) 2 Sasinowski M-Legacy Of Ra 1,00 each 19,40 19,40 10% 21,34 BOOK NEW 3 Time Life Books: The Old West 3,00 each 139,95 419,85 10% 461,83 Series Complete 26 Volumes Master Index mn853 Tumbling by Caela Carter 3,00 each 4,49 13,47 10% 14,82 5 How to Win Friends Influence 2,00 each 6,62 13,24 10% 14,56 People SUMMARY VAT [%] Net worth VAT Gross worth 10% 665,76 66,58 732,34 Total $ 665,76 $ 66,58 $ 732,34"
3,"Invoice no: 74589240 Date of issue: 12/08/2013 Seller: Client: Hall-Boyd Haas and Sons 8719 Reed Street Apt: 120 65628 Brittany Dale East Michelleborough, KY 93895 Walterschester, LA 26239 Tax Id: 977-76-9492 Tax Id: 981-73-4585 IBAN: GBSIFSWB55572342266497 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 3D Printed Mat Vortex Illusion 3,00 each 11,63 34,89 10% 38,38 Living room Rug Carpet Floors Doors Round Mat 2 New Golden Brown Oriental Rug 5,00 each 232,65 1 163,25 10% 1 279,58 4X6 Oushak Chobi Floral Hand-Knotted Foyer Carpet 3 YILONG 5.5'x8' Handknotted 1,00 each 10 560,00 10 560,00 10% 11 616,00 Silk Area Rugs Home Decor Classic Blue Carpet 0790 Pretty Woman Small Large Long 1,00 each 36,30 36,30 10% 39,93 Floor Carpet Area Rugs Various Size Soft Rug SUMMARY VAT [%] Net worth VAT Gross worth 10% 11 794,44 1 179,44 12 973,88 Total $ 11 794,44 $1 179,44 $ 12 973,88"
4,"Invoice no: 81978187 Date of issue: 01/17/2013 Seller: Client: Padilla-Miller Johnson Ltd 53017 Lopez Locks 86731 Ryan Throughway Suite 743 Alecborough, OH 49620 West Jason, CT 15849 Tax Id: 957-92-5322 Tax Id: 922-87-4664 IBAN: GB9IVPMR74805066714957 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 Wine Bottle Holder 5,00 each 10,75 53,75 10% 59,13 2 Cuisinart Stainless Steel Electric 3,00 each 19,90 59,70 10% 65,67 Wine Opener CWO-25 Brand New in the Box SUMMARY VAT [%] Net worth VAT Gross worth 10% 113,45 11,34 124,79 Total $ 113,45 $ 11,34 $ 124,79"
5,"Invoice no: 99314100 Date of issue: 06/25/2014 Seller: Client: Michael, Farrell and Lee Collins, Barrett and Schroeder 95360 Washington Inlet 2314 Beard Via Port Sandraview, CT 01507 Kellybury, GA 19687 Tax Id: 993-76-1179 Tax Id: 908-81-7850 IBAN: GBZOWFQR49970703277369 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 Real Madrid Inflatable Chair 5,00 each 43,95 219,75 10% 241,73 (5G16136) 2 60 Inches Marble Dinning Table 1,00 each 5 756,00 5 756,00 10% 6 331,60 Top Inlay Work Lawn Table with Multi Color Stones SUMMARY VAT [%] Net worth VAT Gross worth 10% 5 975,75 597,58 6 573,33 Total $ 5 975,75 $ 597,58 $ 6 573,33"
6,"Invoice no: 51109338 Date of issue: 04/13/2013 Seller: Client: Andrews, Kirby and Valdez Becker Ltd 58861 Gonzalez Prairie 8012 Stewart Summit Apt: 455 Lake Daniellefurt; IN 57228 North Douglas, AZ 95355 Tax Id: 945-82-2137 Tax Id: 942-80-0517 IBAN: GBZSMCRLO6841367619257 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth CLEARANCE! Fast Dell Desktop 3,00 each 209,00 627,00 10% 689,70 Computer PC DUAL CORE WINDOWS 10 4/8/16GB RAM 2 HP T520 Thin Client Computer 5,00 each 37,75 188,75 10% 207,63 AMD GX-21ZJC 1.2GHz 4GB RAM TESTED !!READ BELOWW! 3 gaming pc desktop computer 1,00 each 400,00 400,00 10% 440,00 12-Core Gaming Computer 3,00 each 464,89 1 394,67 10% 1 534,14 Desktop PC Tower Affordable GAMING PC 8GB AMD Vega RGB 5 Custom Build Dell Optiplex 9020 5,00 each 221,99 1 109,95 10% 1 220,95 MT i5-4570 3.2OGHz Desktop Computer PC Dell Optiplex 990 MT Computer 4,00 each 269,95 1 079,80 10% 1 187,78 PC Quad Core i7 3.4GHz 16GB 2TB HD Windows 10 Pro Dell Core 2 Duo Desktop 5,00 each 168,00 840,00 10% 924,00 Computer Windows XP Pro 4GB S0OGB SUMMARY VAT [%] Net worth VAT Gross worth 10% 5 640,17 564,02 6 204,19 Total $ 5 640,17 564,02 $ 6 204,19"
7,"Invoice no: 12847181 Date of issue: 03/03/2012 Seller: Client: Fitzpatrick and Sons Duncan PLC 00480 Cook Cove Unit 8799 Box 0703 Spencerport, UT 12036 DPO AP 81970 Tax Id: 998-99-5253 Tax Id: 911-82-7132 IBAN: GB9ZPBPQ73499358975916 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 HP Desktop Computer PC [] 4,00 each 139,95 559,80 10% 615,78 Core i5 16GB 2TB HD 256GB SSD 22"" LCD [] Windows 10 2 CUSTOM BUILT AMD RYZEN 3,00 each 1 400,00 4 200,00 10% 620,00 THREADRIPPER GAMING COMPUTER 32 GB RAM; 3 Fast Dell Optiplex Desktop PC 1,00 each 217,00 217,00 10% 238,70 Computer Dual Core 3.4Ghz 8GB 1TB Win 10 Pro WIFI Dell Optiplex 790 Computer i7 3,00 each 159,99 479,97 10% 527,97 3.40 Ghz Quad Core 250GB 4GB Working 5 Vintage Microsolutions Pentium 2,00 each 390,00 780,00 10% 858,00 133mhz Desktop Tower PC Windows 95 5.25 Floppy SUMMARY VAT [%] Net worth VAT Gross worth 10% 6 236,77 623,68 6 860,45 Total $ 6 236,77 $ 623,68 $ 6 860,45"
8,"Invoice no: 19471831 Date of issue: 04/09/2014 Seller: Client: Palmer Ltd Rios, Oneill and Rowe 9790 Bauer Hills Apt: 146 3571 Tina Trafficway South Patriciaton, SD 32497 Buckleyland, LA 97688 Tax Id: 924-71-1106 Tax Id: 922-72-5979 IBAN: GBOSYUTG50853913677557 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 15""xl5 White Decorative 3,00 each 645,77 1 937,31 10% 2 131,04 Coffee Table Top Lapis Lazuli Marquetery Patio Decor 2 4'x2 Marble Dining Table Top 5,00 each 1 840,10 9 200,50 10% 10 120,55 Pietra Dura Birds Inlay Art Furniture Decors B444 3 60 Inches Marble Dinning Table 5,00 each 5 908,00 29 540,00 10% 32 494,00 Top Hand Inlaid Garden Table with Gemstones SUMMARY VAT [%] Net worth VAT Gross worth 10% 40 677,81 4 067,78 44 745,59 Total $ 40 677,81 $ 4 067,78 $ 44 745,59"
9,"Invoice no: 16273983 Date of issue: 04/01/2017 Seller: Client: Reyes, Holloway and Lee Castillo LLC 38676 Johnson Burg Suite 666 70391 Kelsey Terrace West Rebeccamouth, SD 02588 Garcialand, VT 41740 Tax Id: 909-83-7738 Tax Id: 901-88-0463 IBAN: GBOGVWUL52026848004193 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 Handmade Thick round warm 4,00 each 44,99 179,96 10% 197,96 crochet Rug Carpet Mat 97% acrylic 3% me Floor Decor 2 Rug White Moroccan Beni 2,00 each 245,00 490,00 10% 539,00 Ourain Trellis Shag Area Rug Authentic Handmade Carpet 3 Abstract Living Room Carpet 1,00 each 24,01 24,01 10% 26,41 Home Decor Nordic Style Bedside Area Rug Floor Mats Leopard Printed Rug Skin Mat 1,00 each 19,49 19,49 10% 21,44 Leather Faux Fur Animals Area Rugs Home Carpets 5 lpc Exquisite Durable Foot 2,00 each 15,57 31,14 10% 34,25 Cloth Christmas Carpet Xmas Cushion for Kitchen SUMMARY VAT [%] Net worth VAT Gross worth 10% 744,60 74,46 819,06 Total $ 744,60 $ 74,46 $ 819,06"
10,"Invoice no: 89969473 Date of issue: 10/29/2016 Seller: Client: Johnson-Martin Deleon, Davila and Allen 3836 Moore Ports 355 King Lake Suite 071 North Michael, MO 01844 South Haleyshire, KY 55765 Tax Id: 972-82-0713 Tax Id: 944-77-3882 IBAN: GB71GBDG68039919194335 ITEMS No. Description Qty UM Net price Net worth VAT [%] Gross worth 1 Wild West Wine 2,00 each 27,00 54,00 10% 59,40 2 Press Wine 15L Fruit Cider 2,00 each 279,00 558,00 10% 613,80 Apple Crusher Juice Grape Stainless Maker Grapes New 3 Wine Rack Holder Iron Art 3,00 each 18,75 56,25 10% 61,87 Hanging Racks Glass Stemware Shelf Mounted 2 Color Rust Proof Three Rows Tool 2,00 each 11,56 23,12 10% 25,43 Wine Glass Holder Simple Iron Wire Home Hanging Rack 5 VTG 1970s MCM Brown Steel 1,00 each 34,00 34,00 10% 37,40 Tube Wall or Desk Mounted 12-Wine Rack Bottle Holder SUMMARY VAT [%] Net worth VAT Gross worth 10% 725,37 72,54 797,91 Total $ 725,37 $ 72,54 $ 797,91 Cup"
