bill_id,items
1,"['Invoice no:11580833', 'Date of issue:', '11/24/2019', 'Seller:', 'Client:', 'Wood,Simpson andSummers', 'TapiaLLC', '7000GravesVille', '53393 Peters Overpass', 'Juliastad,OH02764', 'Boothside,WY76847', 'TaxId:968-86-1662', 'TaxId:979-96-3992', 'IBAN:GB61VHVS67246807986062', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', 'Dell Optiplex SFF Desktop', '1,00', 'each', '89.99', '89,99', '10%', '98,99', 'Computer Windows 10 4GB', '160GB', '2.', 'DellDesktopComputer Intel', '3,00', 'each', '69,95', '209.85', '10%', '230,84', 'Core2Duo8GB1TBHD', 'Windows10PC22""LCDWifi', '3.', 'HP6200ProCorei73.4GHz', '5,00', 'each', '256,68', '1283.40', '10%', '1411,74', 'OuadCore16GB500GB', 'Computer', '4.', 'VintageMicrosolutionsPentium', '3,00', 'each', '390,00', '1170.00', '10%', '1287,00', '133mhzDesktop TowerPC', 'Windows955.25Floppy', '5.', 'DellOptiPlex7060 SFF', '4,00', 'each', '202.50', '810.00', '10%', '891,00', 'Computer, 8th Gen Core i5, 8GB', 'DDR4.New 240GBSSD,DVD', '6.', 'CustomGamingPCComputer', '1,00', 'each', '449,99', '449,99', '10%', '494,99', 'FX-63003.5GHz8GBRAM', '128GBSSD1TBHDDRX580', '4GB', '7.', 'Custom Build HP Desktop', '2,00', 'each', '329.00', '658.00', '10%', '723,80', 'Computer16GB |2TB |SSD |', 'Windows10Windows7PCWiFi', 'SUMMARY', 'VAT [%]', 'Net worth', 'VAT', 'Gross worth', '10%', '4 671,23', '467,12', '5138,35', 'Total', '$ 4 671,23', '$467,12', '$5138,35']"
2,"['Invoice no:74589240', 'Date of issue:', '12/08/2013', 'Seller:', 'Client:', 'Hall-Boyd', 'Haas and Sons', '8719ReedStreetApt.120', '65628Brittany Dale', 'EastMichelleborough,KY93895', 'Walterschester,LA26239', 'TaxId:977-76-9492', 'TaxId:981-73-4585', 'IBAN:GB51FSWB55572342266497', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', '3DPrintedMatVortexllusion', '3,00', 'each', '11,63', '34,89', '10%', '38,38', 'Living room Rug Carpet Floors', 'Doors Round Mat', '2.', 'NewGoldenBrownOrientalRug', '5,00', 'each', '232,65', '1163.25', '10%', '1279,58', '4X6 OushakChobiFloral', 'Hand-Knotted FoyerCarpet', '3.', ""YILONG 5.5'x8'Handknotted"", '1,00', 'each', '10 560,00', '10 560.00', '10%', '11616,00', 'Silk Area RugsHome Decor', 'Classic BlueCarpet 0790', '4.', 'PrettyWomanSmallLargeLong', '1,00', 'each', '36,30', '36,30', '10%', '39,93', 'Floor CarpetAreaRugs Various', 'Size Soft Rug', 'SUMMARY', 'VAT [%]', 'Net worth', 'VAT', 'Gross worth', '10%', '11794,44', '1179,44', '12 973,88', 'Total', '$ 11794,44', '$1 179,44', '$ 12973,88']"
3,"['Invoice no:81978187', 'Date of issue:', '01/17/2013', 'Seller:', 'Client:', 'Padilla-Miller', 'Johnson Ltd', '53017Lopez Locks', '86731RyanThroughwaySuite743', 'Alecborough,OH49620', 'WestJason,CT15849', 'TaxId:957-92-5322', 'TaxId:922-87-464', 'IBAN:GB91VPMR74805066714957', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Net price', 'Net worth', 'VAT[%]', 'Gross', 'worth', '1.', 'Wine Bottle Holder', '5,00', 'each', '10,75', '53,75', '10%', '59,13', '2.', 'Cuisinart Stainless Steel Electric', '3,00', 'each', '19,90', '59,70', '10%', '65,67', 'Wine Opener -CWO-25-Brand', 'New in theBox', 'SUMMARY', 'VAT[%]', 'Net worth', 'VAT', 'Gross worth', '10%', '113,45', '11,34', '124,79', 'Total', '$ 113,45', '$11,34', '$124,79']"
4,"['Invoice no:99314100', 'Date of issue:', '06/25/2014', 'Seller:', 'Client:', 'Michael,FarrellandLee', 'Collins, Barrett andSchroeder', '95360Washington Inlet', '2314BeardVia', 'PortSandraview,CT01507', 'Kellybury,GA19687', 'TaxId:993-76-1179', 'TaxId:908-81-7850', 'IBAN:GB20WFQR49970703277369', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', 'RealMadridInflatableChair', '5,00', 'each', '43.95', '219,75', '10%', '241,73', '(SG16136)', '2.', '60InchesMarbleDinningTable', '1,00', 'each', '5756,00', '5756,00', '10%', '6331,60', 'Top InlayWorkLawn Tablewith', 'Multi ColorStones', 'SUMMARY', 'VAT [%]', 'Net worth', 'VAT', 'Gross worth', '10%', '5975,75', '597,58', '6 573,33', 'Total', '$5975,75', '$ 597,58', '$6573,33']"
5,"['Invoice no:51109338', 'Date of issue:', '04/13/2013', 'Seller:', 'Client:', 'Andrews,Kirby andValdez', 'Becker Ltd', '58861GonzalezPrairie', '8012StewartSummitApt.455', 'LakeDaniellefurt,IN57228', 'North Douglas,AZ95355', 'TaxId:945-82-2137', 'TaxId:942-80-0517', 'IBAN:GB75MCRL06841367619257', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', 'CLEARANCE! Fast Dell Desktop', '3,00', 'each', '209,00', '627,00', '10%', '689,70', 'Computer PC DUAL CORE', 'WINDOWS 10 4/8/16GBRAM', '2.', 'HP T520 ThinClientComputer', '5,00', 'each', '37,75', '188,75', '10%', '207,63', 'AMDGX-212IC1.2GHz4GBRAM', 'TESTED!!READBELOW!!', '3.', 'gaming pc desktop computer', '1,00', 'each', '400,00', '400,00', '10%', '440,00', '4.', '12-CoreGamingComputer', '3,00', 'each', '464.89', '1394.67', '10%', '1534,14', 'Desktop PC Tower Affordable', 'GAMINGPC8GBAMDVegaRGB', '5.', 'Custom BuildDell Optiplex 9020', '5,00', 'each', '221.99', '1109.95', '10%', '1 220,95', 'MTi5-45703.20GHzDesktop', 'Computer PC', '6.', 'DellOptiplex990MTComputer', '4,00', 'each', '269,95', '1079.80', '10%', '1187,78', 'PCQuadCorei73.4GHz16GB', '2TBHDWindows10Pro', '7.', 'DellCore 2 Duo Desktop', '5,00', 'each', '168,00', '840.00', '10%', '924,00', 'Computer | Windows XPPro |', '4GB|500GB', 'SUMMARY', 'VAT [%]', 'Net worth', 'VAT', 'Gross worth', '10%', '5 640,17', '564,02', '6 204,19', 'Total', '$5640,17', '$564,02', '$ 6 204,19']"
6,"['Invoice no:12847181', 'Date of issue:', '03/03/2012', 'Seller:', 'Client:', 'FitzpatrickandSons', 'DuncanPLC', '00480CookCove', 'Unit8799Box0703', 'Spencerport,UT 12036', 'DPOAP81970', 'TaxId:998-99-5253', 'TaxId:911-82-7132', 'IBAN:GB92PBPQ73499358975916', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', 'HP Desktop Computer PC ', '4,00', 'each', '139,95', '559,80', '10%', '615,78', 'Core i516GB 2TB HD 256GB', 'SSD 22""LCDWindows10', '2.', 'CUSTOMBUILTAMDRYZEN', '3,00', 'each', '1400.00', '4200.00', '10%', '4620,00', 'THREADRIPPERGAMING', 'COMPUTER,32GBRAM,', '3.', 'Fast Dell Optiplex Desktop PC', '1,00', 'each', '217,00', '217.00', '10%', '238,70', 'Computer Dual Core 3.4Ghz', '8GB1TBWin10 ProWIFI', '4.', 'DellOptiplex790Computeri7', '3,00', 'each', '159,99', '479,97', '10%', '527,97', '@3.40 Ghz Quad Core 250GB', '4GB Working', '5.', 'Vintage Microsolutions Pentium', '2,00', 'each', '390.00', '780.00', '10%', '858,00', '133mhz Desktop Tower PC', 'Windows 95 5.25Floppy', 'SUMMARY', 'VAT[%]', 'Net worth', 'VAT', 'Gross worth', '10%', '6236,77', '623,68', '6 860,45', 'Total', '$ 6 236,77', '$623,68', '$ 6 860,45']"
7,"['Invoice no:19471831', 'Date of issue:', '04/09/2014', 'Seller:', 'Client:', 'PalmerLtd', 'Rios, Oneill and Rowe', '9790BauerHillsApt.146', '3571TinaTrafficway', 'SouthPatriciaton,SD32497', 'Buckleyland,LA97688', 'TaxId:924-71-1106', 'TaxId:922-72-5979', 'IBAN:GB05YUTG50853913677557', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', '15""x15""WhiteDecorative', '3,00', 'each', '645,77', '1937.31', '10%', '2131,04', 'Coffee Table Top Lapis Lazuli', 'Marguetery Patio Décor', '2.', ""4'x2'Marble Dining Table Top"", '5,00', 'each', '1840,10', '9200.50', '10%', '10120,55', 'Pietra DuraBirdsInlayArt', 'Furniture Decors B444', '3.', '60 Inches Marble Dinning Table', '5,00', 'each', '5 908,00', '29 540,00', '10%', '32 494,00', 'Top Hand InlaidGarden Table', 'with Gemstones', 'SUMMARY', 'VAT [%]', 'Net worth', 'VAT', 'Gross worth', '10%', '40 677,81', '4 067,78', '44745,59', 'Total', '$ 40677,81', '$4067,78', '$44745,59']"
8,"['Invoice no:16273983', 'Date of issue:', '04/01/2017', 'Seller:', 'Client:', 'Reyes, Holloway andLee', 'CastilloLLC', '38676JohnsonBurgSuite666', '70391Kelsey Terrace', 'WestRebeccamouth,SD02588', 'Garcialand,VT41740', 'TaxId:909-83-7738', 'TaxId:901-88-0463', 'IBAN:GB96VWUL52026848004193', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Netprice', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', 'Handmade Thick round warm', '4,00', 'each', '44.99', '179,96', '10%', '197,96', 'crochet Rug Carpet Mat 97%', 'acrylic 3% me Floor Decor', '2.', 'Rug White Moroccan Beni', '2,00', 'each', '245.00', '490.00', '10%', '539,00', 'Ourain Trellis Shag Area Rug', 'Authentic Handmade Carpet', '3.', 'Abstract Living Room Carpet', '1,00', 'each', '24.01', '24.01', '10%', '26,41', 'Home Decor Nordic Style', 'Bedside Area RugFloor Mats', '4.', 'LeopardPrintedRugSkinMat', '1,00', 'each', '19,49', '19,49', '10%', '21,44', 'Leather Faux Fur Animals Area', 'Rugs Home Carpets', '5.', '1pc Exquisite Durable Foot', '2,00', 'each', '15,57', '31,14', '10%', '34,25', 'Cloth Christmas Carpet Xmas', 'Cushionfor Kitchen', 'SUMMARY', 'VAT[%]', 'Networth', 'VAT', 'Gross worth', '10%', '744,60', '74,46', '819,06', 'Total', '$ 744,60', '$74,46', '$ 819,06']"
9,"['Invoice no:89969473', 'Date of issue:', '10/29/2016', 'Seller:', 'Client:', 'Johnson-Martin', 'Deleon,Davila andAllen', '3836MoorePorts', '355KingLakeSuite071', 'NorthMichael,MO01844', 'SouthHaleyshire,KY55765', 'TaxId:972-82-0713', 'TaxId:944-77-3882', 'IBAN:GB71GBDG68039919194335', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Net price', 'Net worth', 'VAT[%]', 'Gross', 'worth', '1.', 'WildWest Wine', '2,00', 'each', '27,00', '54,00', '10%', '59,40', '2.', 'PressWine15LFruitCider', '2,00', 'each', '279,00', '558,00', '10%', '613,80', 'Apple Crusher Juice Grape', 'StainlessMakerGrapesNew', '3.', 'WineRack Holder IronArt', '3,00', 'each', '18,75', '56,25', '10%', '61,87', 'Hanging Racks Glass Cup', 'Stemware Shelf Mounted 2', 'Color', '4.', 'Rust ProofThreeRows Tool', '2,00', 'each', '11,56', '23,12', '10%', '25,43', 'WineGlassHolderSimpleIron', 'Wire Home Hanging Rack', '5.', 'VTG 197Os MCM Brown Steel', '1,00', 'each', '34,00', '34,00', '10%', '37,40', 'Tube Wall or Desk Mounted', '12-WineRackBottleHolder', 'SUMMARY', 'VAT[%]', 'Networth', 'VAT', 'Gross worth', '10%', '725,37', '72,54', '797,91', 'Total', '$ 725,37', '$', '72,54', '$797,91']"
10,"['Invoice no:72128555', 'Date of issue:', '12/25/2013', 'Seller:', 'Client:', 'Obrien Group', 'Duncan-Davis', '6217BoydVilleApt.758', 'PSC2324,B0x6632', 'Robbinsberg,AZ 54997', 'APOAP93827', 'TaxId:905-82-5399', 'TaxId:917-86-7656', 'IBAN:GB71QMAA96406297569205', 'ITEMS', 'No.', 'Description', 'Qty', 'UM', 'Net price', 'Net worth', 'VAT [%]', 'Gross', 'worth', '1.', 'Fatawa Islamiyah(Islamic', '2,00', 'each', '99,90', '199,80', '10%', '219,78', 'Verdicts) (8 Volume Set)', '2.', 'SasinowskiM-LegacyOfRa', '1,00', 'each', '19,40', '19,40', '10%', '21,34', 'BOOKNEW', '3.', 'Time Life Books:TheOldWest', '3,00', 'each', '139,95', '419,85', '10%', '461,83', 'Series ~ Complete 26 Volumes', '+MasterIndexmn853', '4.', 'TumblingbyCaelaCarter', '3,00', 'each', '4,49', '13,47', '10%', '14,82', '5.', 'HowtoWinFriends&Influence', '2,00', 'each', '6,62', '13,24', '10%', '14,56', 'People', 'SUMMARY', 'VAT[%]', 'Net worth', 'VAT', 'Gross worth', '10%', '665,76', '66,58', '732,34', 'Total', '$ 665,76', '$ 66,58', '$732,34']"
